CreditScore,Savings,LoanRequested,City,Decision
688,61367,243737,Wilmington,1
766,43780,398693,Wilmington,0
471,48588,332977,Wilmington,0
622,80953,458499,Wilmington,0
778,64697,169811,Wilmington,1
842,41150,337063,Wilmington,0
618,38167,188808,Wilmington,0
580,32201,248011,Newark,0
658,18001,397462,Wilmington,0
309,38529,210106,Wilmington,0
323,37002,459452,Wilmington,0
778,38915,327245,Newark,0
607,59344,394902,Wilmington,0
486,75703,329828,Newark,0
704,30745,292117,Newark,0
531,42126,298927,Newark,0
388,76013,414291,Wilmington,0
547,38921,312477,Wilmington,0
310,31407,279501,Wilmington,0
813,18919,294932,Wilmington,0
454,66662,169382,Newark,0
539,63842,287174,Newark,0
497,95985,220554,Wilmington,0
840,47825,339710,Wilmington,0
715,55311,282875,Wilmington,0
491,35622,340739,Wilmington,0
645,25522,262073,Wilmington,0
586,47160,272609,Wilmington,0
825,89747,217138,Newark,1
371,65785,122919,Newark,1
660,49534,88544,Wilmington,1
605,72802,219626,Newark,1
381,52090,504197,Wilmington,0
843,71977,339504,Wilmington,0
578,39277,374862,Wilmington,0
774,24400,261845,Wilmington,0
790,36249,573287,Wilmington,0
398,57569,236418,Wilmington,0
621,24154,206112,Wilmington,0
462,56964,410869,Newark,0
841,51142,323732,Wilmington,0
802,36555,449100,Wilmington,0
749,33651,241500,Wilmington,0
637,47791,431361,Wilmington,0
352,54732,333245,Wilmington,0
536,21883,255926,Newark,0
680,48353,471561,Wilmington,0
744,57032,258122,Wilmington,0
538,74410,333012,Wilmington,0
643,80695,352356,Wilmington,0
708,68888,249043,Wilmington,1
725,55560,403609,Wilmington,0
696,39588,241693,Wilmington,0
848,56164,257498,Wilmington,0
378,70234,245416,Newark,0
685,62910,131536,Wilmington,1
463,63720,420642,Wilmington,0
400,69139,206095,Newark,0
792,77808,239690,Newark,1
536,73738,258076,Wilmington,0
461,61970,158687,Wilmington,0
426,34899,217381,Wilmington,0
419,59872,318086,Wilmington,0
423,53079,440313,Wilmington,0
529,26005,296281,Wilmington,0
578,55294,453494,Wilmington,0
335,46054,318811,Newark,0
527,-3916,284863,Wilmington,0
654,49109,446923,Wilmington,0
338,23080,385047,Wilmington,0
482,33074,307656,Newark,0
372,80719,240260,Wilmington,0
798,-5953,191624,Wilmington,0
447,37874,303537,Wilmington,0
601,79198,396669,Wilmington,0
702,20743,436922,Wilmington,0
552,46542,203969,Wilmington,0
778,42825,276871,Wilmington,0
798,32549,331564,Wilmington,0
473,47475,425719,Wilmington,0
553,4147,315550,Newark,0
749,46271,532073,Wilmington,0
520,30862,414751,Wilmington,0
798,26932,443777,Wilmington,0
652,76769,452636,Wilmington,0
564,25116,155745,Wilmington,0
351,49423,328751,Wilmington,0
841,34636,246663,Wilmington,0
446,78813,316897,Wilmington,0
482,71627,543356,Wilmington,0
390,63968,478889,Wilmington,0
652,38434,327055,Wilmington,0
335,32724,236089,Wilmington,0
458,34820,205033,Newark,0
693,53746,396805,Newark,0
310,99952,371165,Newark,0
312,53930,292442,Wilmington,0
722,58397,382051,Newark,0
724,35846,445267,Wilmington,0
753,42714,205591,Wilmington,0
635,52878,396935,Wilmington,0
324,53126,32354,Wilmington,1
761,4582,329869,Wilmington,0
428,54223,389866,Wilmington,0
732,46132,396250,Wilmington,0
404,61729,292233,Wilmington,0
733,57018,316939,Wilmington,0
532,46282,153901,Wilmington,0
391,82770,389181,Wilmington,0
732,3370,191118,Wilmington,0
622,29611,255113,Wilmington,0
528,41812,202794,Newark,0
717,53787,276906,Wilmington,0
754,24829,289073,Newark,0
550,25547,207474,Wilmington,0
647,44529,348251,Wilmington,0
739,48290,308319,Wilmington,0
570,86727,345497,Wilmington,0
825,63218,307589,Wilmington,0
724,45862,296408,Wilmington,0
843,47875,293628,Wilmington,0
678,69369,251291,Wilmington,1
332,15049,218693,Newark,0
369,39854,200076,Wilmington,0
306,40356,415642,Newark,0
714,57179,269536,Wilmington,0
595,56347,301150,Wilmington,0
656,50717,266738,Newark,0
386,59016,358776,Wilmington,0
662,28057,383388,Wilmington,0
532,64542,371910,Newark,0
412,34659,323629,Wilmington,0
304,103877,298785,Newark,0
810,23204,169176,Wilmington,0
521,74063,423905,Wilmington,0
476,54767,283739,Newark,0
302,67955,145840,Wilmington,0
816,46540,297323,Wilmington,0
782,37388,393113,Newark,0
339,75265,268926,Wilmington,0
570,43036,379791,Wilmington,0
454,62879,239295,Wilmington,0
808,36742,334097,Newark,0
377,37517,415208,Wilmington,0
461,40268,291011,Wilmington,0
441,29248,303316,Wilmington,0
429,53112,409669,Wilmington,0
669,53108,264223,Wilmington,0
315,70032,305722,Wilmington,0
374,62892,221042,Wilmington,0
709,77553,208504,Wilmington,1
355,73470,392854,Newark,0
498,20232,156271,Wilmington,0
428,26219,479704,Wilmington,0
695,49318,271988,Wilmington,0
491,60204,243128,Newark,0
315,53911,389171,Wilmington,0
494,52644,361245,Wilmington,0
504,61132,262888,Wilmington,0
475,39559,256337,Newark,0
638,39506,216754,Wilmington,0
528,63923,414863,Wilmington,0
521,26884,200799,Wilmington,0
787,81438,384988,Wilmington,0
562,88841,232785,Wilmington,0
793,69251,485030,Wilmington,0
548,56897,252725,Newark,0
686,23142,110217,Wilmington,0
787,81926,439920,Wilmington,0
559,61800,175619,Wilmington,0
805,32638,386668,Wilmington,0
555,35919,477982,Newark,0
793,43025,268349,Wilmington,0
359,92730,297300,Newark,0
327,94723,316246,Wilmington,0
754,58222,239155,Wilmington,0
365,33878,269778,Wilmington,0
736,1787,423323,Wilmington,0
729,69781,344563,Wilmington,0
459,50868,294228,Wilmington,0
704,63914,250826,Wilmington,1
429,46959,359389,Wilmington,0
420,41836,344965,Wilmington,0
850,25728,217031,Wilmington,0
435,44384,179487,Wilmington,0
756,40417,367158,Newark,0
548,55022,540939,Newark,0
401,55857,376272,Wilmington,0
534,63399,493897,Wilmington,0
466,39092,220556,Wilmington,0
365,55154,166519,Wilmington,0
312,32268,299404,Wilmington,0
722,24503,248486,Newark,0
506,16410,197130,Wilmington,0
805,50566,304082,Newark,0
783,41668,357590,Wilmington,0
671,17173,31138,Wilmington,1
779,72992,390672,Wilmington,0
439,37058,369204,Wilmington,0
378,45460,217403,Wilmington,0
355,49210,359225,Wilmington,0
661,51839,451189,Wilmington,0
700,84264,218419,Wilmington,1
799,53243,342169,Wilmington,0
775,81548,302663,Wilmington,1
401,71174,283329,Wilmington,0
496,42098,352374,Wilmington,0
322,7871,328802,Wilmington,0
669,50309,426513,Wilmington,0
725,43624,199574,Wilmington,0
415,27398,392590,Wilmington,0
486,41636,198162,Newark,0
423,41481,246097,Wilmington,0
377,87358,354597,Wilmington,0
599,47359,366294,Wilmington,0
433,22046,216763,Wilmington,0
834,54029,252516,Wilmington,0
376,47194,181392,Wilmington,0
323,33602,331146,Wilmington,0
450,36759,402060,Wilmington,0
490,39365,54561,Wilmington,0
333,48650,304185,Wilmington,0
805,61924,341697,Wilmington,0
678,52936,133153,Wilmington,1
695,49587,188162,Wilmington,1
610,62766,616668,Newark,0
383,15227,278295,Wilmington,0
319,44578,365507,Wilmington,0
343,38680,488557,Wilmington,0
382,36759,194238,Wilmington,0
834,56468,352622,Wilmington,0
650,31173,220154,Newark,0
592,45931,173154,Wilmington,0
712,52444,192053,Wilmington,1
468,38836,424326,Wilmington,0
306,69080,282810,Wilmington,0
355,21092,239082,Wilmington,0
812,47484,102960,Newark,1
502,59631,396787,Wilmington,0
589,72483,305234,Wilmington,0
739,41616,257576,Wilmington,0
593,52529,328964,Wilmington,0
317,51291,382465,Wilmington,0
630,72022,316693,Wilmington,0
447,52938,192138,Wilmington,0
379,58109,227561,Wilmington,0
649,28154,192800,Wilmington,0
424,65191,193940,Wilmington,0
786,27207,239082,Wilmington,0
602,45829,229007,Newark,0
685,55421,325942,Wilmington,0
605,17851,138219,Wilmington,0
734,63941,480524,Newark,0
499,42569,364472,Newark,0
788,35735,83845,Newark,1
347,57961,198853,Wilmington,0
727,17314,249141,Wilmington,0
761,8656,309411,Wilmington,0
775,71308,423028,Wilmington,0
778,37339,113621,Wilmington,1
586,21162,316138,Wilmington,0
453,-3881,201840,Wilmington,0
407,48485,189908,Wilmington,0
422,41217,197387,Newark,0
753,46076,231660,Wilmington,0
373,65485,177202,Wilmington,0
427,9009,290086,Wilmington,0
312,57037,325239,Wilmington,0
375,38182,368825,Newark,0
788,52449,360147,Wilmington,0
657,29573,436266,Wilmington,0
344,60885,216117,Wilmington,0
682,45289,192183,Wilmington,0
835,71098,317394,Newark,0
408,21565,257674,Wilmington,0
789,37859,376460,Wilmington,0
412,56521,496720,Wilmington,0
555,60092,303188,Newark,0
585,38443,323801,Wilmington,0
594,54915,310927,Newark,0
318,49414,407437,Wilmington,0
672,60925,229633,Wilmington,1
428,68899,214020,Wilmington,0
485,30465,443543,Wilmington,0
641,55289,170558,Wilmington,0
594,11155,277410,Newark,0
791,51757,291227,Wilmington,0
382,71312,378623,Wilmington,0
594,74164,471711,Wilmington,0
494,44420,439851,Wilmington,0
811,24730,369129,Wilmington,0
689,61499,242913,Newark,1
535,80005,338852,Wilmington,0
511,50625,334603,Newark,0
719,23438,368987,Wilmington,0
439,67960,453079,Newark,0
523,48476,318561,Newark,0
546,29125,316511,Wilmington,0
808,71080,181657,Newark,1
429,32250,394215,Newark,0
702,33511,332676,Wilmington,0
439,53070,462014,Wilmington,0
332,36957,219863,Wilmington,0
566,22377,214443,Wilmington,0
547,46809,355088,Wilmington,0
481,68474,326636,Wilmington,0
807,39625,426619,Wilmington,0
621,101544,287927,Newark,1
803,53626,406832,Wilmington,0
748,49358,250286,Wilmington,0
439,45660,359065,Newark,0
333,36997,500307,Wilmington,0
807,30686,312667,Wilmington,0
843,16852,367664,Wilmington,0
321,67640,284693,Wilmington,0
575,59197,448640,Wilmington,0
488,37165,162166,Newark,0
720,58725,127777,Wilmington,1
577,33553,435328,Wilmington,0
769,47202,217048,Wilmington,0
646,24052,535198,Wilmington,0
835,48856,310024,Wilmington,0
491,60191,178798,Newark,0
721,50939,448003,Wilmington,0
682,26186,306124,Newark,0
366,70111,200636,Newark,0
615,52298,298197,Wilmington,0
494,46974,374339,Wilmington,0
778,30227,69243,Newark,1
543,56193,275493,Wilmington,0
811,36561,243385,Wilmington,0
800,64948,204170,Wilmington,1
591,19497,239389,Wilmington,0
688,39074,315349,Newark,0
522,50804,307578,Wilmington,0
786,49137,165511,Newark,1
753,42427,437407,Wilmington,0
304,78903,342950,Wilmington,0
301,68761,148325,Wilmington,0
415,47145,326024,Wilmington,0
532,56431,421005,Wilmington,0
715,70998,239057,Wilmington,1
441,59268,310180,Wilmington,0
609,79152,245187,Wilmington,0
319,41544,350935,Newark,0
419,25625,117031,Wilmington,0
694,69811,410257,Wilmington,0
828,43389,235355,Newark,0
839,75868,204440,Wilmington,1
549,63918,402641,Wilmington,0
549,21765,187089,Wilmington,0
672,53331,181482,Wilmington,1
714,45775,260484,Wilmington,0
405,64955,338471,Wilmington,0
527,40676,189618,Wilmington,0
740,51005,289377,Wilmington,0
510,93710,293713,Wilmington,0
652,59000,177253,Wilmington,1
594,22052,294025,Wilmington,0
349,51146,425152,Newark,0
387,91502,375188,Wilmington,0
812,44839,419681,Wilmington,0
421,81988,237570,Wilmington,0
460,47791,388815,Newark,0
571,17473,322177,Wilmington,0
337,36030,270688,Wilmington,0
752,65303,276236,Wilmington,0
407,46281,392214,Wilmington,0
418,44613,331429,Wilmington,0
338,53939,326471,Wilmington,0
518,55479,246328,Wilmington,0
655,83069,265682,Wilmington,1
552,66507,293300,Newark,0
551,40196,339891,Newark,0
677,49537,379105,Wilmington,0
570,69701,300364,Wilmington,0
444,61588,323724,Newark,0
631,46301,328020,Wilmington,0
633,35739,197591,Wilmington,0
653,55849,409346,Wilmington,0
548,54148,363726,Wilmington,0
572,35152,268312,Wilmington,0
701,42609,255384,Wilmington,0
333,46141,140112,Wilmington,0
503,25430,171433,Newark,0
817,70754,244242,Wilmington,1
828,59622,198200,Wilmington,1
708,50942,271465,Wilmington,0
620,45675,414828,Wilmington,0
423,33090,210714,Wilmington,0
543,41360,331914,Newark,0
485,69817,293725,Wilmington,0
333,55360,124888,Wilmington,0
304,66429,354014,Newark,0
339,46449,446224,Newark,0
414,66676,295935,Newark,0
607,49052,253443,Wilmington,0
572,52232,319255,Wilmington,0
553,63608,230101,Wilmington,0
578,81797,253190,Newark,0
833,51626,203259,Wilmington,1
847,79851,349069,Wilmington,0
316,61627,404314,Newark,0
830,88544,328413,Wilmington,1
305,25098,284010,Newark,0
638,61980,218817,Wilmington,0
638,61840,201300,Wilmington,0
688,74855,240638,Newark,1
454,54258,487247,Newark,0
763,30367,332163,Wilmington,0
781,52409,193633,Newark,1
452,33598,380880,Newark,0
451,58756,215619,Newark,0
724,15039,247850,Newark,0
421,28986,214316,Newark,0
747,66278,191011,Wilmington,1
444,6629,279294,Wilmington,0
689,57423,295566,Wilmington,0
688,33648,405373,Wilmington,0
505,68370,152484,Wilmington,0
825,57223,376610,Newark,0
418,28077,384903,Wilmington,0
731,10747,428583,Wilmington,0
349,14135,308035,Wilmington,0
744,70028,278657,Wilmington,1
428,44439,201079,Wilmington,0
427,42725,329337,Newark,0
631,75958,225835,Wilmington,0
539,28020,376439,Newark,0
386,79496,10000,Wilmington,1
353,56090,414533,Wilmington,0
835,63917,415078,Wilmington,0
469,56660,302204,Newark,0
656,61331,278340,Newark,0
316,39050,426181,Wilmington,0
788,99505,300536,Newark,1
757,69861,140679,Newark,1
633,16030,343116,Wilmington,0
331,66721,252527,Newark,0
727,61156,429074,Wilmington,0
620,89553,191431,Wilmington,0
419,30603,193078,Wilmington,0
643,33949,380013,Wilmington,0
326,88715,350370,Wilmington,0
727,43213,165405,Wilmington,1
431,44623,384211,Wilmington,0
623,39101,335080,Wilmington,0
400,24264,265537,Wilmington,0
336,44584,539937,Wilmington,0
409,81993,77716,Newark,1
488,40901,353477,Wilmington,0
647,56205,185452,Wilmington,0
596,49242,208861,Wilmington,0
508,43041,371544,Wilmington,0
317,13171,284286,Wilmington,0
490,62056,357451,Wilmington,0
342,37528,227044,Wilmington,0
306,66067,252884,Newark,0
401,54433,520690,Wilmington,0
524,69026,342042,Wilmington,0
319,21311,335075,Newark,0
495,7950,455388,Wilmington,0
757,36409,332370,Wilmington,0
743,52330,288633,Wilmington,0
720,87233,287788,Wilmington,1
521,63061,344376,Wilmington,0
723,74036,345036,Wilmington,0
577,66684,199304,Wilmington,0
773,60282,283762,Wilmington,0
494,87820,439128,Wilmington,0
848,41192,361611,Wilmington,0
304,61647,371806,Wilmington,0
551,96355,91395,Wilmington,1
754,53453,203909,Newark,1
639,27212,406777,Wilmington,0
536,28179,332761,Newark,0
403,68446,225441,Newark,0
408,26516,235712,Wilmington,0
781,67760,348011,Newark,0
825,29056,310278,Wilmington,0
742,44270,319107,Wilmington,0
843,38004,306848,Wilmington,0
628,17606,271556,Newark,0
329,42685,373080,Wilmington,0
381,54934,297253,Newark,0
565,59573,312640,Newark,0
841,33707,238202,Wilmington,0
637,40280,388021,Wilmington,0
715,70040,429923,Wilmington,0
487,56528,397943,Newark,0
680,41990,272859,Wilmington,0
762,50398,472122,Newark,0
340,60627,196996,Wilmington,0
540,40150,222383,Wilmington,0
520,25304,261979,Wilmington,0
466,41329,221938,Wilmington,0
387,39561,40452,Newark,1
413,65663,305500,Newark,0
695,63280,307883,Newark,0
815,32551,196302,Wilmington,0
536,31448,388237,Newark,0
531,59190,153323,Newark,0
581,64899,342719,Newark,0
478,25097,232291,Wilmington,0
635,38962,184033,Wilmington,0
563,38419,288071,Wilmington,0
362,69558,409036,Newark,0
775,23190,332470,Newark,0
740,43463,304415,Newark,0
599,69133,278430,Wilmington,0
760,39417,321000,Wilmington,0
846,54246,437707,Wilmington,0
491,58451,231361,Wilmington,0
748,14720,324413,Wilmington,0
787,37853,316242,Newark,0
311,88917,488447,Wilmington,0
504,16234,251647,Wilmington,0
505,51294,296516,Wilmington,0
432,71540,358118,Wilmington,0
446,53520,394355,Wilmington,0
833,47017,187227,Newark,1
822,43478,176805,Wilmington,0
482,40954,315444,Wilmington,0
483,32892,203830,Wilmington,0
326,20964,362421,Wilmington,0
464,70533,452792,Wilmington,0
398,36496,404272,Wilmington,0
578,61789,296340,Wilmington,0
360,68029,269566,Wilmington,0
608,59698,228220,Wilmington,0
661,68086,331341,Wilmington,0
826,65369,102502,Wilmington,1
550,57393,261131,Wilmington,0
795,46262,378658,Wilmington,0
637,31747,206708,Wilmington,0
379,73333,297707,Wilmington,0
658,36977,421718,Newark,0
540,62382,144996,Wilmington,0
312,65058,529388,Wilmington,0
713,61088,186523,Wilmington,1
653,56989,286554,Wilmington,0
553,15978,421837,Wilmington,0
605,59378,289722,Wilmington,0
344,59243,376857,Wilmington,0
576,48120,368560,Newark,0
466,31494,378680,Wilmington,0
716,78431,408068,Newark,0
744,35053,354205,Wilmington,0
697,51269,345936,Wilmington,0
625,65198,532106,Wilmington,0
808,55029,330570,Wilmington,0
609,42329,328499,Wilmington,0
846,49857,176930,Wilmington,1
672,60529,408634,Wilmington,0
483,35120,360880,Newark,0
563,50531,348681,Wilmington,0
757,51775,382645,Wilmington,0
795,28581,357435,Newark,0
364,27578,379845,Wilmington,0
629,52860,349632,Newark,0
617,63140,534422,Wilmington,0
450,19604,309347,Wilmington,0
360,47738,138775,Wilmington,0
402,16225,347620,Wilmington,0
660,34229,92433,Wilmington,1
348,72260,297349,Wilmington,0
621,38431,374997,Wilmington,0
739,33569,213580,Wilmington,0
786,57797,325676,Wilmington,0
348,57576,224472,Wilmington,0
654,18961,345930,Wilmington,0
418,44401,291250,Wilmington,0
468,38557,219779,Wilmington,0
344,53917,238990,Wilmington,0
712,35594,184798,Wilmington,0
569,33322,257213,Wilmington,0
333,57994,309348,Newark,0
572,50952,246377,Wilmington,0
493,47222,224830,Wilmington,0
543,29587,346718,Wilmington,0
317,56934,230671,Wilmington,0
743,40460,285189,Wilmington,0
577,30575,203111,Wilmington,0
475,66241,382339,Wilmington,0
624,35451,355524,Wilmington,0
513,57623,231896,Wilmington,0
764,22028,284168,Newark,0
341,26653,489693,Wilmington,0
708,63006,235949,Newark,1
827,52391,351001,Wilmington,0
691,46753,328480,Wilmington,0
614,65419,198645,Newark,1
495,33223,207568,Newark,0
672,43999,221668,Wilmington,0
599,67429,259205,Wilmington,0
678,38572,334492,Newark,0
616,55791,222097,Wilmington,0
522,54237,277010,Wilmington,0
369,44959,418484,Wilmington,0
576,69724,191190,Newark,0
679,67441,439699,Wilmington,0
541,43442,323355,Wilmington,0
477,59713,361986,Wilmington,0
436,64999,475148,Wilmington,0
490,67595,173261,Newark,0
536,44196,317971,Wilmington,0
622,94207,275846,Wilmington,0
399,17330,400830,Newark,0
751,70167,275533,Wilmington,1
799,33652,256293,Wilmington,0
416,112048,391311,Wilmington,0
449,41850,105323,Wilmington,0
664,43871,274152,Newark,0
509,38642,444778,Wilmington,0
849,62293,120849,Wilmington,1
759,23329,297098,Wilmington,0
481,63141,551789,Newark,0
661,24628,324623,Newark,0
475,38409,359986,Wilmington,0
524,6068,272213,Wilmington,0
385,37079,435071,Wilmington,0
379,56700,313671,Wilmington,0
782,48507,391477,Wilmington,0
738,17965,357052,Newark,0
672,56690,379372,Wilmington,0
497,58161,369516,Wilmington,0
374,23948,286555,Newark,0
307,56993,269940,Newark,0
579,44971,282051,Wilmington,0
546,64419,372593,Wilmington,0
545,41417,269443,Wilmington,0
378,56180,395549,Newark,0
555,45059,321724,Wilmington,0
735,39689,294009,Wilmington,0
774,21043,270530,Wilmington,0
353,44971,136813,Newark,0
703,57488,74248,Wilmington,1
482,5394,291344,Newark,0
737,25092,10000,Wilmington,1
563,51822,247003,Wilmington,0
603,54653,316174,Wilmington,0
844,38588,274370,Newark,0
394,53164,206786,Wilmington,0
630,41219,441501,Wilmington,0
630,51218,439908,Wilmington,0
749,43627,69258,Wilmington,1
752,-3634,232299,Wilmington,0
364,16368,211737,Wilmington,0
554,16506,371630,Wilmington,0
765,55086,150304,Wilmington,1
776,7365,246176,Newark,0
518,42827,231141,Wilmington,0
317,66772,216356,Newark,0
688,62352,339923,Wilmington,0
791,81104,444931,Wilmington,0
434,50513,450335,Newark,0
399,86348,124878,Wilmington,0
629,58873,352919,Wilmington,0
680,73716,442368,Newark,0
377,43605,189626,Wilmington,0
546,80873,442064,Wilmington,0
801,66013,438628,Wilmington,0
760,48841,219002,Wilmington,0
359,55568,327146,Wilmington,0
582,60039,177147,Wilmington,0
657,26334,247940,Wilmington,0
565,26981,321799,Wilmington,0
716,27852,429493,Wilmington,0
375,46856,285665,Wilmington,0
607,38169,312383,Wilmington,0
364,42534,335996,Newark,0
457,84661,336562,Wilmington,0
627,66151,305999,Wilmington,0
457,31299,473424,Wilmington,0
421,18952,227899,Wilmington,0
363,43889,175107,Wilmington,0
771,86350,412164,Wilmington,0
576,56904,249405,Wilmington,0
456,27064,369040,Wilmington,0
818,34173,211937,Wilmington,0
713,30186,244189,Wilmington,0
337,71737,346252,Wilmington,0
660,100586,374439,Wilmington,1
454,46010,534532,Wilmington,0
589,63859,359971,Wilmington,0
421,25446,359751,Newark,0
744,30970,343099,Wilmington,0
642,74131,330995,Wilmington,0
557,17509,418721,Wilmington,0
589,75146,310311,Wilmington,0
606,76544,309898,Wilmington,0
531,27972,317511,Wilmington,0
693,65560,263520,Wilmington,0
735,62536,408059,Wilmington,0
472,61972,461219,Wilmington,0
750,64215,267685,Wilmington,0
730,30388,195361,Wilmington,0
418,43945,205419,Wilmington,0
376,57078,370849,Wilmington,0
426,47593,465819,Wilmington,0
685,50910,390143,Wilmington,0
601,61849,210058,Wilmington,0
698,56426,278592,Newark,0
686,87157,116823,Newark,1
577,70740,227717,Wilmington,0
340,53142,286775,Wilmington,0
497,46149,374109,Wilmington,0
713,80402,203127,Wilmington,1
556,56963,327079,Wilmington,0
601,47343,276607,Wilmington,0
